14. 1. 20 오후 9:59
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	  108827	754411	                    3422602	                      3749013	
Remaining:       	   40021	448310	                    1519071	                      1618970	
Unique:          	   76896	616182	                    2794138	                      3068049	
Unique Remaining:	   33102	381432	                    1293155	                      1379103	


Individual File Statistics:

File Name                                                                                                   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
rubydoc/.gitignore                                                                                          	             1	                 0	              1	                        0	          1	              0	           1	                     0	                               13	                                    0	                                13	                                           0	                                 13	                                      0	                                  13	                                             0	
rubydoc/.travis.yml                                                                                         	             5	                 0	              5	                        0	          8	              0	           8	                     0	                               96	                                    0	                                96	                                           0	                                 99	                                      0	                                  99	                                             0	
rubydoc/document.css                                                                                        	            79	                 0	             66	                        0	        177	              0	         149	                     0	                             1287	                                    0	                              1056	                                           0	                               1423	                                      0	                                1167	                                             0	
rubydoc/Gemfile                                                                                             	             6	                 0	              6	                        0	         18	              0	          18	                     0	                              129	                                    0	                               129	                                           0	                                136	                                      0	                                 136	                                             0	
rubydoc/index.html                                                                                          	            21	                 0	             19	                        0	         59	              0	          55	                     0	                              326	                                    0	                               302	                                           0	                                347	                                      0	                                 323	                                             0	
rubydoc/Memo                                                                                                	            41	                28	             38	                       28	        248	            234	         245	                   234	                              867	                                  778	                               848	                                         778	                                973	                                    878	                                 954	                                           878	
rubydoc/Rakefile                                                                                            	            17	                 0	             17	                        0	         68	              0	          68	                     0	                              538	                                    0	                               538	                                           0	                                571	                                      0	                                 571	                                             0	
rubydoc/README                                                                                              	             2	                 1	              2	                        1	         10	              4	          10	                     4	                              117	                                   67	                               117	                                          67	                                119	                                     68	                                 119	                                            68	
rubydoc/refm/api/.htaccess                                                                                  	             4	                 0	              4	                        0	         28	              0	          28	                     0	                              237	                                    0	                               237	                                           0	                                251	                                      0	                                 251	                                             0	
rubydoc/refm/api/ASSIGN                                                                                     	             6	                 0	              6	                        0	        819	              0	         819	                     0	                             5473	                                    0	                              5473	                                           0	                              12936	                                      0	                               12936	                                             0	
